,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,@louise-u6u,"2024-08-19 14:12:34",0,no,no,"This movie, which uses radio soundtracks and old commercials, takes me back to that summer of 1969. Even though I did not live in California, those commercials, especially the ""Heaven Scent"" cologne one, was familiar to me even in the Midwest listening to WIXY 1260 AM radio, Cleveland, Ohio. The scenes where Cliff gets out of Spahn with the radio giving the time right  before Tex comes back and the one where the radio sinks in Rick's pool while still going for a few seconds just cracked me up. Amazing movie and cannot forget the amazing Brandy....and the amazing, albeit tragic, summer of 1969. This was a brilliantly and seamlessly crafted film.",UCuNY6eokhgF4Dj7fvQ36Q9w,UgynarFw5kFZrvWx_yZ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgynarFw5kFZrvWx_yZ4AaABAg
2,,@EvelineCornelia,"2024-08-21 09:42:11",0,no,no,"Lewis Scott Moore Paul Thompson Christopher",UC9zE7F5dEGGuGCaSbJcKqvw,UgyvrUXZNq5Q0t-5EFZ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyvrUXZNq5Q0t-5EFZ4AaABAg
3,,@jwilham,"2024-08-28 06:18:23",0,no,no,"this show made me hate hippies. woke colored hair losers are just modern day hippies.
PS. movie sucks. entire movie for just one scene at the end. and even that is stupid. girl burns in a pool filled with water.",UC0TNJoHosmJnXWzcRNMS7tg,UgzG-e2YtAPzrMU8wvV4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzG-e2YtAPzrMU8wvV4AaABAg
4,,@mozamelahmadi5648,"2024-09-09 00:52:41",1,no,no,"Extinction c?",UCRg4N210vU3p1u8OM8n9NsQ,UgwdpgnjdE3IsccGeON4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwdpgnjdE3IsccGeON4AaABAg
5,,@HobertKhou-x6n,"2024-09-12 16:28:51",0,no,no,"Ritchie Flat",UCOb-DxT6G-K1WqcYk6d1m4g,UgypVYioAf5wzNKKmxV4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgypVYioAf5wzNKKmxV4AaABAg
6,,@MontyDozer-h7i,"2024-09-14 00:08:22",0,no,no,"Darron Summit",UC8oPtLnnnT48jI9ZW0Qlz9A,UgwgtVtUw_aHdwdrBKd4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwgtVtUw_aHdwdrBKd4AaABAg
7,,@claire1254,"2024-09-15 15:16:01",0,no,no,"´´Is that your son?´´😂",UCfWTwLT_lVxl2ww2Y75hk0A,UgzinOdEml4DsvWFAcZ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzinOdEml4DsvWFAcZ4AaABAg
8,,@streaming-c7p,"2024-09-16 12:55:03",0,no,no,"great movie👍",UC8B5ap9f8ja_7jm3YWf0xSw,UgxTVF1OclAM2Bi48o94AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxTVF1OclAM2Bi48o94AaABAg
9,,@flips300021,"2024-09-17 14:57:29",0,no,no,"Arguably, for some. The best flick Tarantino has ever made. I hate to laugh during watching, but I did. I always think I'm going to miss the biggest. The Bruce Lee scene is especially funny. And Damian Lewis as Steve McQueen is just genius ! This flick is pure diamond. A real treat. Don't hesitate. Watch this masterpiece. Brandy! Who's a good dog!!! Ruffle, Ruffle...and remember, kids. To smoke Red Apple cigarettes or The LSD dipped kind ❤",UCLrraQX90-MrOZtnsZ3FjwA,UgxTEFs01WUnESoNDVl4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxTEFs01WUnESoNDVl4AaABAg
10,,@MrGabeanator,"2024-09-25 03:56:01",0,no,no,awesome,UCFy_J-_SNDTg17_YaiD9Aow,UgwLqtuoPN0oIKaomNx4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwLqtuoPN0oIKaomNx4AaABAg
